Player,Mat,NO,Runs,Ave,BF,SR,100,50,0,4s,6s,Team
PA van Meekeren,9,2,26,4.33,54,48.14,0,0,2,3,0,Netherlands
K Rabada,9,1,25,8.33,45,55.55,0,0,0,0,2,South Africa
Mohammad Wasim,4,1,23,23.00,23,100.0,0,0,0,2,2,Pakistan
TA Boult,10,3,21,21.00,25,84.0,0,0,0,1,1,New Zealand
Hasan Ali,6,0,20,6.66,28,71.42,0,0,1,4,0,Pakistan
Kuldeep Yadav,11,1,19,19.00,31,61.29,0,0,0,1,0,India
MJ Henry,7,2,19,9.50,22,86.36,0,0,1,1,1,New Zealand
JJ Bumrah,11,1,18,9.00,29,62.06,0,0,0,1,0,India
TG Southee,4,0,16,8.00,21,76.19,0,0,0,2,0,New Zealand
RJW Topley,3,2,16,0,9,177.77,0,0,0,3,0,England
Naveen-ul-Haq,8,1,16,4.00,25,64.0,0,0,2,2,0,Afghanistan
Hasan Mahmud,2,0,15,15.00,25,60.0,0,0,0,2,0,Bangladesh
FDM Karunaratne,2,0,15,7.50,22,68.18,0,0,1,1,0,Sri Lanka
Saqib Zulfiqar,2,0,13,6.50,33,39.39,0,0,0,1,0,Netherlands
DN Wellalage,3,0,12,4.00,18,66.66,0,0,1,1,0,Sri Lanka
HH Pandya,4,1,11,0,8,137.5,0,0,0,0,1,India
L Ngidi,8,1,11,5.50,41,26.82,0,0,1,0,0,South Africa
Mohammed Shami,7,1,10,3.33,20,50.0,0,0,0,1,0,India
Mohammed Siraj,11,1,9,0,8,112.5,0,0,0,1,0,India
T Shamsi,4,3,9,0,15,60.0,0,0,0,1,0,South Africa
R Klein,1,0,8,8.00,15,53.33,0,0,0,0,0,Netherlands
C Karunaratne,3,0,8,4.00,28,28.57,0,0,0,1,0,Sri Lanka
Najibullah Zadran,2,0,7,3.50,21,33.33,0,0,0,0,0,Afghanistan
LH Ferguson,7,1,7,3.50,9,77.77,0,0,0,0,1,New Zealand
Shariz Ahmad,1,0,6,6.00,8,75.0,0,0,0,0,0,Netherlands
M Pathirana,2,1,6,6.00,19,31.57,0,0,0,1,0,Sri Lanka
PVD Chameera,4,0,6,1.50,39,15.38,0,0,1,0,0,Sri Lanka
Tanzim Hasan Sakib,1,1,5,0,6,83.33,0,0,0,1,0,Bangladesh
CBRLS Kumara,2,0,4,4.00,8,50.0,0,0,0,1,0,Sri Lanka
MADI Hemantha,2,1,4,4.00,4,100.0,0,0,1,1,0,Sri Lanka
JR Hazlewood,11,3,4,2.00,5,80.0,0,0,1,0,0,Australia
Fazalhaq Farooqi,6,2,2,2.00,9,22.22,0,0,1,0,0,Afghanistan
AT Carey,1,0,0,0.00,2,0.0,0,0,1,0,0,Australia
Usama Mir,4,0,0,0.00,3,0.0,0,0,1,0,0,Pakistan
