Match,Team,Bowler Name,Overs,Maidens,Runs Conceded,Economy,0s,4s,6s,WD,NB
13,Afghanistan,Naveen-ul-Haq,6.0,1,44,7.33,17,8,0,0,1
13,Afghanistan,Mohammad Nabi,6.0,0,16,2.66,23,0,0,1,0
13,Afghanistan,Rashid Khan,9.3,1,37,3.89,30,3,0,0,0
13,Afghanistan,Azmatullah Omarzai,2.0,0,13,6.5,5,2,0,0,0
14,Australia,Mitchell Starc,10.0,0,43,4.3,37,5,0,4,0
14,Australia,Josh Hazlewood,7.0,1,36,5.14,28,6,0,1,0
14,Australia,Pat Cummins,7.0,0,32,4.57,24,4,0,1,0
14,Australia,Glenn Maxwell,9.3,0,36,3.78,30,2,0,1,0
14,Australia,Adam Zampa,8.0,1,47,5.87,26,5,1,2,0
14,Australia,Marcus Stoinis,2.0,0,11,5.5,5,1,0,0,0
14,Sri Lanka,Lahiru Kumara,4.0,0,47,11.75,8,5,2,0,0
14,Sri Lanka,Dilshan Madushanka,9.0,2,38,4.22,34,5,0,1,0
14,Sri Lanka,Maheesh Theekshana,7.0,0,49,7.0,19,5,2,0,0
14,Sri Lanka,Dunith Wellalage,9.2,0,53,5.67,29,6,1,0,0
14,Sri Lanka,Chamika Karunaratne,3.0,0,15,5.0,9,1,0,2,0
14,Sri Lanka,Dhananjaya de Silva,3.0,0,13,4.33,8,0,0,0,0
15,South Africa,Lungi Ngidi,9.0,1,57,6.33,31,5,1,6,1
15,South Africa,Marco Jansen,8.0,1,27,3.37,36,3,0,6,0
15,South Africa,Kagiso Rabada,9.0,1,56,6.22,30,5,2,3,0
15,South Africa,Gerald Coetzee,8.0,0,57,7.12,25,5,3,2,0
15,South Africa,Keshav Maharaj,9.0,0,38,4.22,34,5,0,0,0
15,Netherlands,Aryan Dutt,5.0,1,19,3.8,21,3,0,0,0
15,Netherlands,Logan van Beek,8.5,0,60,6.79,30,7,2,1,1
15,Netherlands,Colin Ackermann,3.0,0,16,5.33,13,2,1,0,0
15,Netherlands,Paul van Meekeren,9.0,0,40,4.44,33,4,1,0,0
15,Netherlands,Roelof van der Merwe,9.0,0,34,3.77,29,1,1,0,0
15,Netherlands,Bas de Leede,8.0,0,36,4.5,28,3,0,4,0
16,Afghanistan,Mujeeb Ur Rahman,10.0,0,57,5.7,32,4,2,1,0
16,Afghanistan,Fazalhaq Farooqi,7.0,1,39,5.57,23,2,2,2,0
16,Afghanistan,Naveen-ul-Haq,8.0,0,48,6.0,17,4,0,0,0
16,Afghanistan,Mohammad Nabi,8.0,1,41,5.12,30,1,4,0,0
16,Afghanistan,Rashid Khan,10.0,0,43,4.3,35,4,0,2,0
16,Afghanistan,Azmatullah Omarzai,7.0,0,56,8.0,17,4,3,0,1
16,New Zealand,Trent Boult,7.0,1,18,2.57,32,1,0,2,0
16,New Zealand,Matt Henry,5.0,2,16,3.2,22,1,1,0,0
16,New Zealand,Mitchell Santner,7.4,0,39,5.08,24,3,1,1,0
16,New Zealand,Lockie Ferguson,7.0,1,19,2.71,32,2,0,1,0
16,New Zealand,Glenn Phillips,3.0,0,13,4.33,7,0,0,1,0
16,New Zealand,Rachin Ravindra,5.0,0,34,6.8,11,4,0,0,0
17,India,Jasprit Bumrah,10.0,1,41,4.1,39,2,2,1,0
17,India,Mohammed Siraj,10.0,0,60,6.0,34,8,1,3,0
17,India,Hardik Pandya,0.3,0,8,16.0,1,2,0,0,0
17,India,Virat Kohli,0.3,0,2,4.0,1,0,0,0,0
17,India,Shardul Thakur,9.0,0,59,6.55,23,3,3,0,0
17,India,Kuldeep Yadav,10.0,0,47,4.7,25,1,1,1,0
17,India,Ravindra Jadeja,10.0,0,38,3.8,36,2,1,0,0
17,Bangladesh,Shoriful Islam,8.0,0,54,6.75,25,6,2,0,0
17,Bangladesh,Mustafizur Rahman,5.0,0,29,5.8,17,5,0,0,0
17,Bangladesh,Nasum Ahmed,9.3,0,60,6.31,30,4,4,0,0
17,Bangladesh,Hasan Mahmud,8.0,0,65,8.12,22,5,3,1,2
17,Bangladesh,Mehidy Hasan Miraz,10.0,0,47,4.7,24,3,0,1,0
17,Bangladesh,Mahmudullah,1.0,0,6,6.0,0,0,0,0,0
18,Pakistan,Shaheen Shah Afridi,10.0,1,54,5.4,39,4,3,3,0
18,Pakistan,Hasan Ali,8.0,0,57,7.12,26,4,3,3,0
18,Pakistan,Iftikhar Ahmed,8.0,0,37,4.62,30,4,1,2,0
18,Pakistan,Haris Rauf,8.0,0,83,10.37,18,8,5,3,0
18,Pakistan,Usama Mir,9.0,0,82,9.11,19,6,5,2,0
18,Pakistan,Mohammad Nawaz,7.0,0,43,6.14,20,3,2,0,0
18,Australia,Mitchell Starc,8.0,0,65,8.12,22,10,0,6,0
18,Australia,Josh Hazlewood,10.0,1,37,3.7,40,5,0,1,0
18,Australia,Pat Cummins,7.3,0,62,8.26,22,6,4,0,0
18,Australia,Adam Zampa,10.0,0,53,5.3,25,3,1,1,0
18,Australia,Glenn Maxwell,5.0,0,40,8.0,10,6,0,0,0
18,Australia,Marcus Stoinis,5.0,0,40,8.0,10,4,1,3,0
19,Sri Lanka,Dilshan Madushanka,9.4,1,49,5.06,33,4,0,3,1
19,Sri Lanka,Kasun Rajitha,9.0,0,50,5.55,32,5,0,6,0
19,Sri Lanka,Chamika Karunaratne,9.0,1,58,6.44,25,1,2,6,0
19,Sri Lanka,Maheesh Theekshana,10.0,0,44,4.4,28,0,0,2,0
19,Sri Lanka,Dushan Hemantha,8.0,0,42,5.25,23,3,1,0,0
19,Sri Lanka,Dhananjaya de Silva,4.0,0,13,3.25,16,0,0,3,0
19,Netherlands,Aryan Dutt,10.0,0,44,4.4,38,3,1,2,0
19,Netherlands,Logan van Beek,10.0,0,57,5.7,36,6,2,0,0
19,Netherlands,Paul van Meekeren,8.0,1,39,4.87,29,4,0,2,0
19,Netherlands,Bas de Leede,3.0,0,29,9.66,7,4,0,2,0
19,Netherlands,Roelof van der Merwe,9.0,0,42,4.66,25,3,0,1,0
19,Netherlands,Colin Ackermann,8.2,0,39,4.68,25,3,0,0,0
20,England,Reece Topley,8.5,0,88,9.96,23,10,4,4,0
20,England,David Willey,9.0,1,61,6.77,27,6,2,3,1
20,England,Joe Root,6.1,0,48,7.78,6,2,2,0,0
20,England,Gus Atkinson,9.0,0,60,6.66,27,6,2,1,0
20,England,Mark Wood,7.0,0,76,10.85,9,10,2,1,0
20,England,Adil Rashid,10.0,0,61,6.1,20,4,1,0,0
20,South Africa,Lungi Ngidi,5.0,1,26,5.2,23,2,2,3,0
20,South Africa,Marco Jansen,5.0,0,35,7.0,19,4,2,1,0
20,South Africa,Kagiso Rabada,6.0,1,38,6.33,24,6,1,0,1
20,South Africa,Gerald Coetzee,4.0,0,35,8.75,13,5,1,1,0
20,South Africa,Keshav Maharaj,2.0,0,27,13.5,4,1,3,0,0
21,India,Jasprit Bumrah,10.0,1,45,4.5,34,5,0,0,0
21,India,Mohammed Siraj,10.0,1,45,4.5,34,3,1,4,0
21,India,Mohammed Shami,10.0,0,54,5.4,32,6,1,0,0
21,India,Ravindra Jadeja,10.0,0,48,4.8,28,2,1,0,0
21,India,Kuldeep Yadav,10.0,0,73,7.3,25,3,4,3,0
21,New Zealand,Trent Boult,10.0,0,60,6.0,33,6,2,1,0
21,New Zealand,Matt Henry,9.0,0,55,6.11,31,7,2,0,0
21,New Zealand,Mitchell Santner,10.0,0,37,3.7,32,1,1,0,0
21,New Zealand,Lockie Ferguson,8.0,0,63,7.87,22,11,0,2,0
21,New Zealand,Rachin Ravindra,9.0,0,46,5.11,28,3,2,1,0
21,New Zealand,Glenn Phillips,2.0,0,12,6.0,3,1,0,0,0
