Player,Span,Mat,Inns,Balls,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5
RJW Topley (ENG),2023-2023,3,3,166,27.4,2,183,8,4/43,22.87,6.61,20.75,1,-
Mohammad Nabi (AFG),2023-2023,9,9,369,61.3,4,254,8,3/28,31.75,4.13,46.12,-,-
CAK Rajitha (SL),2023-2023,6,6,294,49.0,1,336,8,4/50,42.00,6.85,36.75,1,-
Naveen-ul-Haq (AFG),2023-2023,8,8,322,53.4,1,352,8,2/47,44.00,6.55,40.25,-,-
Mujeeb Ur Rahman (AFG),2023-2023,9,9,491,81.5,2,458,8,3/51,57.25,5.59,61.37,-,-
TG Southee (NZ),2023-2023,4,4,198,33.0,-,256,7,3/100,36.57,7.75,28.28,-,-
Azmatullah Omarzai (AFG),2023-2023,9,9,228,38.0,1,270,7,2/52,38.57,7.10,32.57,-,-
AD Mathews (SL),2023-2023,5,5,133,22.1,2,107,6,2/14,17.83,4.82,22.16,-,-
Mahedi Hasan (BAN),2023-2023,3,3,144,24.0,-,149,6,4/71,24.83,6.20,24.00,1,-
Fazalhaq Farooqi (AFG),2023-2023,6,6,240,40.0,2,228,6,4/34,38.00,5.70,40.00,1,-
GD Phillips (NZ),2023-2023,10,10,240,40.0,1,233,6,3/37,38.83,5.82,40.00,-,-
RE van der Merwe (NED),2023-2023,8,8,336,56.0,-,311,6,2/34,51.83,5.55,56.00,-,-
GJ Maxwell (AUS),2023-2023,9,8,411,68.3,1,330,6,2/34,55.00,4.81,68.50,-,-
MA Wood (ENG),2023-2023,7,7,324,54.0,1,349,6,2/50,58.16,6.46,54.00,-,-
M Theekshana (SL),2023-2023,8,8,428,71.2,1,382,6,2/44,63.66,5.35,71.33,-,-
HH Pandya (IND),2023-2023,4,4,99,16.3,-,113,5,2/34,22.60,6.84,19.80,-,-
Noor Ahmad (AFG),2023-2023,4,4,228,38.0,1,182,5,3/49,36.40,4.78,45.60,-,-
CN Ackermann (NED),2023-2023,9,9,284,47.2,2,234,5,2/39,46.80,4.94,56.80,-,-
MM Ali (ENG),2023-2023,6,6,256,42.4,-,248,5,3/42,49.60,5.81,51.20,-,-
Taskin Ahmed (BAN),2023-2023,7,7,330,55.0,3,305,5,2/43,61.00,5.54,66.00,-,-
R Ravindra (NZ),2023-2023,10,9,394,65.4,-,393,5,2/21,78.60,5.98,78.80,-,-
Mustafizur Rahman (BAN),2023-2023,8,8,394,65.4,3,398,5,2/36,79.60,6.06,78.80,-,-
MP Stoinis (AUS),2023-2023,6,6,114,19.0,-,143,4,2/40,35.75,7.52,28.50,-,-
AAP Atkinson (ENG),2023-2023,3,3,144,24.0,-,146,4,2/45,36.50,6.08,36.00,-,-
Usama Mir (PAK),2023-2023,4,4,210,35.0,-,248,4,2/45,62.00,7.08,52.50,-,-
Iftikhar Ahmed (PAK),2023-2023,9,8,288,48.0,-,262,4,1/16,65.50,5.45,72.00,-,-
Tanzim Hasan Sakib (BAN),2023-2023,1,1,60,10.0,-,80,3,3/80,26.66,8.00,20.00,-,-
CBRLS Kumara (SL),2023-2023,2,2,66,11.0,-,82,3,3/35,27.33,7.45,22.00,-,-
Hasan Mahmud (BAN),2023-2023,2,2,84,14.0,-,132,3,2/67,44.00,9.42,28.00,-,-
LS Livingstone (ENG),2023-2023,6,6,174,29.0,1,158,3,1/13,52.66,5.44,58.00,-,-
LB Williams (SA),2023-2023,1,1,52,8.4,1,56,2,2/56,28.00,6.46,26.00,-,-
SA Abbott (AUS),2023-2023,1,1,60,10.0,-,61,2,2/61,30.50,6.10,30.00,-,-
MR Marsh (AUS),2023-2023,10,5,78,13.0,-,96,2,2/19,48.00,7.38,39.00,-,-
TM Head (AUS),2023-2023,6,5,126,21.0,-,101,2,2/21,50.50,4.80,63.00,-,-
SN Thakur (IND),2023-2023,3,3,102,17.0,-,102,2,1/31,51.00,6.00,51.00,-,-
SM Curran (ENG),2023-2023,3,3,104,17.2,2,140,2,1/47,70.00,8.07,52.00,-,-
JDS Neesham (NZ),2023-2023,3,3,87,14.3,-,157,2,1/32,78.50,10.82,43.50,-,-
M Pathirana (SL),2023-2023,2,2,114,19.0,-,185,2,1/90,92.50,9.73,57.00,-,-
PVD Chameera (SL),2023-2023,4,4,188,31.2,3,196,2,1/20,98.00,6.25,94.00,-,-
DN Wellalage (SL),2023-2023,3,3,176,29.2,-,196,2,1/53,98.00,6.68,88.00,-,-
Mohammad Nawaz (PAK),2023-2023,5,5,227,37.5,-,223,2,1/31,111.50,5.89,113.50,-,-
Shadab Khan (PAK),2023-2023,6,5,228,38.0,-,237,2,1/45,118.50,6.23,114.00,-,-
RG Sharma (IND),2023-2023,11,1,5,0.5,-,7,1,1/7,7.00,8.40,5.00,-,-
V Kohli (IND),2023-2023,11,2,21,3.3,-,15,1,1/13,15.00,4.28,21.00,-,-
R Ashwin (IND),2023-2023,1,1,60,10.0,1,34,1,1/34,34.00,3.40,60.00,-,-
AL Phehlukwayo (SA),2023-2023,1,1,42,7.0,-,36,1,1/36,36.00,5.14,42.00,-,-
Saqib Zulfiqar (NED),2023-2023,2,2,30,5.0,-,40,1,1/25,40.00,8.00,30.00,-,-
JE Root (ENG),2023-2023,9,2,61,10.1,-,67,1,1/19,67.00,6.59,61.00,-,-
AK Markram (SA),2023-2023,10,4,111,18.3,1,85,1,1/23,85.00,4.59,111.00,-,-
