Match,Team,Bowler Name,Overs,Maidens,Runs Conceded,Economy,0s,4s,6s,WD,NB
8,Pakistan,Iftikhar Ahmed,4.0,0.0,22.0,5.5,11.0,2.0,0.0,1.0,0.0
8,Sri Lanka,Maheesh Theekshana,10.0,0.0,59.0,5.9,23.0,3.0,0.0,1.0,0.0
8,Sri Lanka,Dilshan Madushanka,9.2,0.0,60.0,6.42,27.0,5.0,1.0,2.0,1.0
8,Sri Lanka,Dasun Shanaka,5.0,0.0,28.0,5.6,10.0,2.0,0.0,0.0,0.0
8,Sri Lanka,Matheesha Pathirana,9.0,0.0,90.0,10.0,14.0,8.0,1.0,9.0,0.0
8,Sri Lanka,Dunith Wellalage,10.0,0.0,62.0,6.2,24.0,4.0,2.0,0.0,0.0
8,Sri Lanka,Dhananjaya de Silva,4.0,0.0,36.0,9.0,7.0,3.0,2.0,0.0,0.0
8,Sri Lanka,Charith Asalanka,1.0,0.0,10.0,10.0,1.0,1.0,0.0,0.0,0.0
9,India,Jasprit Bumrah,10.0,0.0,39.0,3.9,41.0,5.0,0.0,3.0,0.0
9,India,Mohammed Siraj,9.0,0.0,76.0,8.44,23.0,12.0,1.0,1.0,0.0
9,India,Hardik Pandya,7.0,0.0,43.0,6.14,23.0,5.0,1.0,2.0,0.0
9,India,Shardul Thakur,6.0,0.0,31.0,5.16,21.0,2.0,1.0,1.0,1.0
9,India,Kuldeep Yadav,10.0,0.0,40.0,4.0,35.0,0.0,3.0,0.0,0.0
9,India,Ravindra Jadeja,8.0,0.0,38.0,4.75,22.0,1.0,1.0,0.0,1.0
9,Afghanistan,Fazalhaq Farooqi,6.0,0.0,50.0,8.33,17.0,6.0,2.0,1.0,0.0
9,Afghanistan,Mujeeb Ur Rahman,8.0,0.0,64.0,8.0,18.0,6.0,1.0,3.0,0.0
9,Afghanistan,Naveen-ul-Haq,5.0,0.0,31.0,6.2,16.0,4.0,1.0,0.0,0.0
9,Afghanistan,Azmatullah Omarzai,4.0,0.0,34.0,8.5,12.0,5.0,1.0,1.0,0.0
9,Afghanistan,Mohammad Nabi,4.0,0.0,32.0,8.0,11.0,3.0,2.0,0.0,0.0
9,Afghanistan,Rashid Khan,8.0,0.0,57.0,7.12,12.0,4.0,1.0,1.0,0.0
10,Australia,Mitchell Starc,9.0,1.0,53.0,5.88,29.0,3.0,3.0,1.0,0.0
10,Australia,Josh Hazlewood,9.0,0.0,60.0,6.66,30.0,7.0,2.0,3.0,0.0
10,Australia,Glenn Maxwell,10.0,1.0,34.0,3.4,32.0,0.0,0.0,2.0,0.0
10,Australia,Pat Cummins,9.0,0.0,71.0,7.88,19.0,6.0,3.0,0.0,0.0
10,Australia,Adam Zampa,10.0,0.0,70.0,7.0,20.0,9.0,0.0,1.0,0.0
10,Australia,Mitchell Marsh,1.0,0.0,6.0,6.0,1.0,0.0,0.0,0.0,0.0
10,Australia,Marcus Stoinis,2.0,0.0,11.0,5.5,5.0,1.0,0.0,0.0,0.0
10,South Africa,Lungi Ngidi,8.0,2.0,18.0,2.25,35.0,0.0,0.0,1.0,0.0
10,South Africa,Marco Jansen,7.0,0.0,54.0,7.71,24.0,8.0,0.0,3.0,1.0
10,South Africa,Kagiso Rabada,8.0,1.0,33.0,4.12,35.0,5.0,0.0,1.0,1.0
10,South Africa,Keshav Maharaj,10.0,0.0,30.0,3.0,40.0,2.0,0.0,2.0,0.0
10,South Africa,Tabraiz Shamsi,7.5,0.0,38.0,4.85,24.0,4.0,0.0,0.0,0.0
11,New Zealand,Trent Boult,10.0,0.0,45.0,4.5,37.0,5.0,1.0,2.0,0.0
11,New Zealand,Matt Henry,10.0,0.0,58.0,5.8,27.0,6.0,0.0,0.0,1.0
11,New Zealand,Lockie Ferguson,10.0,0.0,49.0,4.9,44.0,4.0,3.0,2.0,2.0
11,New Zealand,Mitchell Santner,10.0,1.0,31.0,3.1,36.0,2.0,0.0,0.0,0.0
11,New Zealand,Glenn Phillips,2.0,0.0,13.0,6.5,8.0,1.0,1.0,0.0,1.0
11,New Zealand,Rachin Ravindra,7.0,0.0,37.0,5.28,22.0,2.0,2.0,0.0,0.0
11,New Zealand,Daryl Mitchell,1.0,0.0,11.0,11.0,1.0,0.0,1.0,0.0,0.0
11,Bangladesh,Mustafizur Rahman,8.0,0.0,36.0,4.5,26.0,3.0,0.0,3.0,0.0
11,Bangladesh,Shoriful Islam,7.5,1.0,43.0,5.48,30.0,5.0,1.0,3.0,0.0
11,Bangladesh,Taskin Ahmed,8.0,0.0,56.0,7.0,20.0,6.0,1.0,3.0,0.0
11,Bangladesh,Shakib Al Hasan,10.0,0.0,54.0,5.4,30.0,2.0,3.0,0.0,0.0
11,Bangladesh,Mehidy Hasan Miraz,9.0,0.0,58.0,6.44,17.0,4.0,1.0,1.0,0.0
12,India,Jasprit Bumrah,7.0,1.0,19.0,2.71,33.0,3.0,0.0,1.0,0.0
12,India,Mohammed Siraj,8.0,0.0,50.0,6.25,22.0,7.0,0.0,0.0,0.0
12,India,Hardik Pandya,6.0,0.0,34.0,5.66,20.0,6.0,0.0,0.0,0.0
12,India,Kuldeep Yadav,10.0,0.0,35.0,3.5,38.0,4.0,0.0,0.0,0.0
12,India,Ravindra Jadeja,9.5,0.0,38.0,3.86,35.0,4.0,0.0,0.0,0.0
12,India,Shardul Thakur,2.0,0.0,12.0,6.0,6.0,2.0,0.0,0.0,0.0
12,Pakistan,Shaheen Shah Afridi,6.0,0.0,36.0,6.0,21.0,5.0,1.0,1.0,0.0
12,Pakistan,Hasan Ali,6.0,0.0,34.0,5.66,23.0,7.0,0.0,0.0,0.0
12,Pakistan,Mohammad Nawaz,8.3,0.0,47.0,5.52,23.0,3.0,2.0,0.0,0.0
12,Pakistan,Haris Rauf,6.0,0.0,43.0,7.16,14.0,1.0,3.0,0.0,0.0
12,Pakistan,Shadab Khan,4.0,0.0,31.0,7.75,10.0,2.0,2.0,0.0,0.0
13,England,Chris Woakes,4.0,0.0,41.0,10.25,13.0,4.0,2.0,2.0,0.0
13,England,Reece Topley,8.5,1.0,52.0,5.88,30.0,5.0,1.0,3.0,1.0
13,England,Sam Curran,4.0,0.0,46.0,11.5,9.0,5.0,2.0,0.0,2.0
13,England,Adil Rashid,10.0,1.0,42.0,4.2,29.0,1.0,1.0,1.0,0.0
13,England,Mark Wood,9.0,0.0,50.0,5.55,27.0,5.0,1.0,0.0,0.0
13,England,Liam Livingstone,10.0,0.0,33.0,3.3,31.0,1.0,0.0,0.0,0.0
13,England,Joe Root,4.0,0.0,19.0,4.75,16.0,2.0,1.0,0.0,0.0
13,Afghanistan,Mujeeb Ur Rahman,10.0,1.0,51.0,5.1,31.0,2.0,1.0,1.0,0.0
13,Afghanistan,Fazalhaq Farooqi,7.0,0.0,50.0,7.14,23.0,9.0,0.0,2.0,0.0
13,Afghanistan,Naveen-ul-Haq,6.0,1.0,44.0,7.33,17.0,8.0,0.0,0.0,1.0
13,Afghanistan,Mohammad Nabi,6.0,0.0,16.0,2.66,23.0,0.0,0.0,1.0,0.0
13,Afghanistan,Rashid Khan,9.3,1.0,37.0,3.89,30.0,3.0,0.0,0.0,0.0
13,Afghanistan,Azmatullah Omarzai,2.0,0.0,13.0,6.5,5.0,2.0,0.0,0.0,0.0
