Match,Team,Batting_1_name,Batting_1_runs,Batting_1_balls,Batting_1_4s,Batting_1_6s,Batting_1_strike_rate,Batting_2_name,Batting_2_runs,Batting_2_balls,Batting_2_4s,Batting_2_6s,Batting_2_strike_rate,Batting_3_name,Batting_3_runs,Batting_3_balls,Batting_3_4s,Batting_3_6s,Batting_3_strike_rate,Batting_4_name,Batting_4_runs,Batting_4_balls,Batting_4_4s,Batting_4_6s,Batting_4_strike_rate,Batting_5_name,Batting_5_runs,Batting_5_balls,Batting_5_4s,Batting_5_6s,Batting_5_strike_rate,Batting_6_name,Batting_6_runs,Batting_6_balls,Batting_6_4s,Batting_6_6s,Batting_6_strike_rate,Batting_7_name,Batting_7_runs,Batting_7_balls,Batting_7_4s,Batting_7_6s,Batting_7_strike_rate,Batting_8_name,Batting_8_runs,Batting_8_balls,Batting_8_4s,Batting_8_6s,Batting_8_strike_rate,Batting_9_name,Batting_9_runs,Batting_9_balls,Batting_9_4s,Batting_9_6s,Batting_9_strike_rate,Batting_10_name,Batting_10_runs,Batting_10_balls,Batting_10_4s,Batting_10_6s,Batting_10_strike_rate,Batting_11_name,Batting_11_runs,Batting_11_balls,Batting_11_4s,Batting_11_6s,Batting_11_strike_rate
12,India,Rohit Sharma (c),86,63,6,6,136.50,Shubman Gill ,16,11,4,0,145.45,Virat Kohli ,16,18,3,0,88.88,Shreyas Iyer ,53,62,3,2,85.48,KL Rahul †,19,29,2,0,65.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Afghanistan,Rahmanullah Gurbaz ,80,57,8,4,140.35,Ibrahim Zadran ,28,48,3,0,58.33,Rahmat Shah ,3,8,0,0,37.50,Hashmatullah Shahidi (c),14,36,0,0,38.88,Azmatullah Omarzai ,19,24,1,1,79.16,Ikram Alikhil †,58,66,3,2,87.87,Mohammad Nabi ,9,15,1,0,60.00,Rashid Khan ,23,22,3,0,104.54,Mujeeb Ur Rahman ,28,16,3,1,175.00,Naveen-ul-Haq ,5,6,1,0,83.33,Fazalhaq Farooqi ,2,4,0,0,50.00
13,England,Jonny Bairstow ,2,4,0,0,50.00,Dawid Malan ,32,39,4,0,82.05,Joe Root ,11,17,2,0,64.70,Harry Brook ,66,61,7,1,108.19,Jos Buttler (c)†,9,18,1,0,50.00,Liam Livingstone ,10,14,1,0,71.42,Sam Curran ,10,23,0,0,43.47,Chris Woakes ,9,26,1,0,34.61,Adil Rashid ,20,13,2,0,153.84,Mark Wood ,18,22,3,0,81.81,Reece Topley ,15,7,3,0,214.28
14,Sri Lanka,Pathum Nissanka ,61,67,8,0,91.04,Kusal Perera ,78,82,12,0,95.12,Kusal Mendis (c)†,9,13,0,0,69.23,Sadeera Samarawickrama ,8,8,1,0,100.00,Charith Asalanka ,25,39,0,1,64.10,Dhananjaya de Silva ,7,13,1,0,53.84,Dunith Wellalage ,2,9,0,0,22.22,Chamika Karunaratne ,2,11,0,0,18.18,Maheesh Theekshana ,0,5,0,0,0.00,Lahiru Kumara ,4,8,1,0,50.00,Dilshan Madushanka ,0,6,0,0,0.00
14,Australia,Mitchell Marsh ,52,51,9,0,101.96,David Warner ,11,6,0,1,183.33,Steven Smith ,0,5,0,0,0.00,Marnus Labuschagne ,40,60,2,0,66.66,Josh Inglis †,58,59,5,1,98.30,Glenn Maxwell ,31,21,4,2,147.61,Marcus Stoinis ,20,10,2,1,200.00,,,,,,,,,,,,,,,,,,,,,,,,
15,Netherlands,Vikramjit Singh ,2,16,0,0,12.50,Max O'Dowd ,18,25,4,0,72.00,Colin Ackermann ,12,25,1,0,48.00,Bas de Leede ,2,7,0,0,28.57,Sybrand Engelbrecht ,19,37,1,1,51.35,Teja Nidamanuru ,20,25,3,0,80.00,Scott Edwards (c)†,78,69,10,1,113.04,Logan van Beek ,10,27,1,0,37.03,Roelof van der Merwe ,29,19,3,1,152.63,Aryan Dutt ,23,9,0,3,255.55,,,,,,
15,South Africa,Temba Bavuma (c),16,31,2,1,51.61,Quinton de Kock †,20,22,3,0,90.90,Rassie van der Dussen ,4,7,0,0,57.14,Aiden Markram ,1,3,0,0,33.33,Heinrich Klaasen ,28,28,4,0,100.00,David Miller ,43,52,4,1,82.69,Marco Jansen ,9,25,0,0,36.00,Gerald Coetzee ,22,23,2,1,95.65,Keshav Maharaj ,40,37,5,1,108.10,Kagiso Rabada ,9,6,0,1,150.00,Lungi Ngidi ,7,24,0,0,29.16
16,New Zealand,Devon Conway ,20,18,3,0,111.11,Will Young ,54,64,4,3,84.37,Rachin Ravindra ,32,41,2,1,78.04,Daryl Mitchell ,1,7,0,0,14.28,Tom Latham (c)†,68,74,3,2,91.89,Glenn Phillips ,71,80,4,4,88.75,Mark Chapman ,25,12,2,1,208.33,Mitchell Santner ,7,5,1,0,140.00,,,,,,,,,,,,,,,,,,
16,Afghanistan,Rahmanullah Gurbaz ,11,21,0,1,52.38,Ibrahim Zadran ,14,15,2,0,93.33,Rahmat Shah ,36,62,1,0,58.06,Hashmatullah Shahidi (c),8,29,1,0,27.58,Azmatullah Omarzai ,27,32,2,0,84.37,Ikram Alikhil †,19,21,3,0,90.47,Mohammad Nabi ,7,9,1,0,77.77,Rashid Khan ,8,13,0,1,61.53,Mujeeb Ur Rahman ,4,3,1,0,133.33,Naveen-ul-Haq ,0,1,0,0,0.00,Fazalhaq Farooqi ,0,2,0,0,0.00
17,Bangladesh,Tanzid Hasan ,51,43,5,3,118.60,Litton Das ,66,82,7,0,80.48,Najmul Hossain Shanto (c),8,17,0,0,47.05,Mehidy Hasan Miraz ,3,13,0,0,23.07,Towhid Hridoy ,16,35,0,0,45.71,Mushfiqur Rahim †,38,46,1,1,82.60,Mahmudullah ,46,36,3,3,127.77,Nasum Ahmed ,14,18,2,0,77.77,Mustafizur Rahman ,1,7,0,0,14.28,Shoriful Islam ,7,3,0,1,233.33,,,,,,
17,India,Rohit Sharma (c),48,40,7,2,120.00,Shubman Gill ,53,55,5,2,96.36,Virat Kohli ,103,97,6,4,106.18,Shreyas Iyer ,19,25,2,0,76.00,KL Rahul †,34,34,3,1,100.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
